variant,depth,games,win_rate_pct,avg_time_ms,avg_nodes
minimax,2,200,98.5,0.008864925090771672,10.390500000000007
minimax,3,200,99.0,0.02148363336527837,29.2084166666667
minimax,4,200,98.0,0.05260666665314297,74.43766666666669
minimax,5,200,100.0,0.12368031672425181,179.43791666666667
alpha_beta,2,200,98.5,0.008798358281334611,10.390500000000007
alpha_beta,3,200,99.0,0.019271741631200715,26.25833333333334
alpha_beta,4,200,98.0,0.03953156658765996,52.31166666666666
alpha_beta,5,200,100.0,0.0735077417254312,99.92783333333335
